num (ignore),Avg windspeed,windSpeed,Direction,windTurbulence,deploymentTime,,simTime,posEast,posNorth,altitude,longitude,latitude,max altitude,deploymentVelocity,groundspeedVelocity
383,5.049789188,0,309.5155478,0,69.40037989,,850.6021429,4865.651311,1133.92144,0,-80.55015135,28.62018848,22764.62847,79.85994321,11.62264124
384,0.686776233,0,234.8728723,0,68.58699534,,849.4411915,4430.37516,869.0777006,0,-80.55461179,28.61780825,22786.73063,79.80463601,11.62264055
385,1.808790896,0,232.6739042,0,73.45426407,,848.2096302,4159.606882,675.2376646,0,-80.55738646,28.6160659,22832.99672,78.94888019,11.62263947
386,3.889248,0,173.6616238,0,68.15635414,,848.9213514,7324.111713,211.2803348,0,-80.52497033,28.61187944,22828.06149,80.51650192,11.62263781
387,6.645994667,0,239.0558721,0,67.48198971,,850.3090791,5260.914483,-661.4272735,0,-80.54611016,28.60404099,22808.97922,79.40482793,11.62263399
388,1.913260668,0,201.4786483,0,72.45586779,,850.223051,3339.900267,343.1422077,0,-80.565785,28.61308166,22833.91737,80.3530583,11.62263795
389,1.273049311,0,221.9330515,0,68.39402586,,850.1591345,5104.081898,421.1049632,0,-80.54771182,28.61377706,22742.73258,78.83624389,11.62263827
390,2.031515165,0,295.6155966,0,68.62128645,,851.1037253,4177.101087,-714.346794,0,-80.55721233,28.60356901,22765.53999,79.13438335,11.62263409
391,0.8552118135,0,12.69002892,0,72.2252348,,848.6614756,7360.060916,897.53511,0,-80.52459763,28.61805087,22833.84973,79.19719965,11.62264041
392,1.88582599,0,194.4153034,0,68.82483574,,850.2922952,2825.452674,3805.507171,0,-80.57104658,28.64422067,22802.5352,81.59297743,11.62265244
393,5.742474672,0,202.1067416,0,73.1670681,,848.4919391,6953.988052,1005.919906,0,-80.5287571,28.61902784,22828.23078,78.94158684,11.62264068
394,1.00338139,0,271.7738898,0,71.19325049,,849.7815248,5333.375021,1425.773712,0,-80.54535815,28.62281134,22780.08056,79.15530185,11.62264284
395,8.60552,0,239.2466921,0,68.22811224,,849.6500533,3147.920698,620.0357305,0,-80.56775094,28.6155723,22781.71032,81.39216719,11.62263947
396,1.888695214,0,219.8865989,0,72.62017722,,848.3622591,4505.987734,1327.327502,0,-80.55383534,28.62192912,22814.5563,81.06969014,11.62264229
397,3.52737359,0,197.4403123,0,69.47833018,,849.7166982,3692.062958,1531.962976,0,-80.56217349,28.62377202,22735.62336,82.3435662,11.62264307
398,0.9444761452,0,325.23348,0,71.97349664,,848.4862267,5789.315401,193.4108699,0,-80.54069318,28.61172648,22835.7863,79.6010191,11.62263741
399,0.9396779966,0,218.9212978,0,73.3517293,,848.1223538,4729.485418,1839.984569,0,-80.55154344,28.62653876,22828.9087,81.79641559,11.62264452
400,2.61372665,0,328.2670097,0,69.35242194,,848.6794927,3577.339116,2762.62291,0,-80.56334501,28.63483994,22838.34133,79.07940779,11.62264818
401,5.832664992,0,253.5635906,0,73.69352442,,847.9039334,5076.552153,1161.177841,0,-80.54799055,28.6204328,22852.21361,78.91095388,11.62264144
402,4.31976287,0,254.0342515,0,69.26511075,,850.6089847,4949.299883,865.8573086,0,-80.54929553,28.61777741,22820.16566,78.71819821,11.62264058
